"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Thu Oct 23 12:18:11 UTC 2025","passed","Thu Oct 23 12:18:11 UTC 2025","TestUserAuthentication","test_markers","",""
"","1741","User login with wrong email or password","LMS system","Thu Oct 23 12:17:58 UTC 2025","passed","Thu Oct 23 12:18:00 UTC 2025","Authorization","Authentication","",""
"","1759","User login with wrong email or password","LMS system","Thu Oct 23 12:17:58 UTC 2025","passed","Thu Oct 23 12:18:00 UTC 2025","Authorization","Authentication","",""
"","2977","User login with correct email and password","LMS system","Thu Oct 23 12:18:00 UTC 2025","passed","Thu Oct 23 12:18:03 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Oct 23 12:18:10 UTC 2025","passed","Thu Oct 23 12:18:10 UTC 2025","TestUserAuthentication","test_markers","",""
"","1655","Check displaying of dashboard page","LMS system","Thu Oct 23 12:18:10 UTC 2025","passed","Thu Oct 23 12:18:11 UTC 2025","Dashboard","Dashboard","",""
"","1556","Registration with correct email, username and password","LMS system","Thu Oct 23 12:18:04 UTC 2025","passed","Thu Oct 23 12:18:05 UTC 2025","Registration","Authentication","",""
"","0","test_login","tests.pytest","Thu Oct 23 12:18:10 UTC 2025","passed","Thu Oct 23 12:18:10 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Thu Oct 23 12:18:10 UTC 2025","passed","Thu Oct 23 12:18:10 UTC 2025","TestUserInterface","test_markers","",""
"","1","test_critical_login","tests.pytest","Thu Oct 23 12:18:10 UTC 2025","passed","Thu Oct 23 12:18:10 UTC 2025","TestUserAuthentication","test_markers","",""
"","2456","Create course","LMS system","Thu Oct 23 12:18:07 UTC 2025","passed","Thu Oct 23 12:18:09 UTC 2025","Courses","Courses","",""
"","1281","Check displaying of empty courses list","LMS system","Thu Oct 23 12:18:06 UTC 2025","passed","Thu Oct 23 12:18:07 UTC 2025","Courses","Courses","",""
"","1509","Navigation from login page to registration page","LMS system","Thu Oct 23 12:18:02 UTC 2025","passed","Thu Oct 23 12:18:04 UTC 2025","Authorization","Authentication","",""
"","2981","Edit course","LMS system","Thu Oct 23 12:18:07 UTC 2025","passed","Thu Oct 23 12:18:10 UTC 2025","Courses","Courses","",""
"","1605","User login with wrong email or password","LMS system","Thu Oct 23 12:18:00 UTC 2025","passed","Thu Oct 23 12:18:02 UTC 2025","Authorization","Authentication","",""
